  compton_paraffin_4  |compton_leadshield_4  |            compton_paraffin_4  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 compton_hindacore_5  |                root  |           compton_hindacore_5  |-72.4754101856518*cm 0.13335*cm 50.7475860945279*cm  |                      0*deg 55*deg 0*deg  | 9900CC   |                Tube  |                  0*cm 13.17625*cm 13.81125*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 51 
compton_hindashield_5  |                root  |         compton_hindashield_5  |-72.4754101856518*cm 0.13335*cm 50.7475860945279*cm  |                      0*deg 55*deg 0*deg  | 990000   |                Tube  |                 13.843*cm 20.6375*cm 15.24*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 52 
     compton_scint_5  |                root  |               compton_scint_5  |-40.9576665907431*cm 0.13335*cm 28.6787298784574*cm  |                      0*deg 55*deg 0*deg  | 9955CC   |                 Box  |                                  3*inch 3*inch 0.09375*inch  |     G4_POLYETHYLENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 50 
compton_leadshield_5  |                root  |          compton_leadshield_5  |-53.749565020364*cm 0.13335*cm 37.6356707940972*cm  |                      0*deg 55*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  compton_paraffin_5  |compton_leadshield_5  |            compton_paraffin_5  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 compton_hindacore_6  |                root  |           compton_hindacore_6  |-88.4759999994031*cm 0.13335*cm -0.000324990494723691*cm  |                      0*deg 90*deg 0*deg  | 9900CC   |                Tube  |                  0*cm 13.17625*cm 13.81125*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 61 
compton_hindashield_6  |                root  |         compton_hindashield_6  |-88.4759999994031*cm 0.13335*cm -0.000324990494723691*cm  |                      0*deg 90*deg 0*deg  | 990000   |                Tube  |                 13.843*cm 20.6375*cm 15.24*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 62 
     compton_scint_6  |                root  |               compton_scint_6  |-49.9999999996627*cm 0.13335*cm -0.000183660255167329*cm  |                      0*deg 90*deg 0*deg  | 9955CC   |                 Box  |                                  3*inch 3*inch 0.09375*inch  |     G4_POLYETHYLENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 60 
compton_leadshield_6  |                root  |          compton_leadshield_6  |-65.6159999995573*cm 0.13335*cm -0.000241021026061189*cm  |                      0*deg 90*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  compton_paraffin_6  |compton_leadshield_6  |            compton_paraffin_6  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 compton_hindacore_7  |                root  |           compton_hindacore_7  |-72.4750373711116*cm 0.13335*cm -50.7481185272516*cm  |                     0*deg 125*deg 0*deg  | 9900CC   |                Tube  |                  0*cm 13.17625*cm 13.81125*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 71 
compton_hindashield_7  |                root  |         compton_hindashield_7  |-72.4750373711116*cm 0.13335*cm -50.7481185272516*cm  |                     0*deg 125*deg 0*deg  | 990000   |                Tube  |                 13.843*cm 20.6375*cm 15.24*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 72 
compton_leadshield_7  |                root  |          compton_leadshield_7  |-53.7492885318375*cm 0.13335*cm -37.6360656594346*cm  |                     0*deg 125*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  compton_paraffin_7  |compton_leadshield_7  |            compton_paraffin_7  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 compton_hindacore_8  |                root  |           compton_hindacore_8  |-31.7064266882181*cm 0.13335*cm -82.5996675699403*cm  |                     0*deg 159*deg 0*deg  | 9900CC   |                Tube  |                  0*cm 13.17625*cm 13.81125*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 81 
compton_hindashield_8  |                root  |         compton_hindashield_8  |-31.7064266882181*cm 0.13335*cm -82.5996675699403*cm  |                     0*deg 159*deg 0*deg  | 990000   |                Tube  |                 13.843*cm 20.6375*cm 15.24*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 82 
compton_leadshield_8  |                root  |          compton_leadshield_8  |-23.5142738547642*cm 0.13335*cm -61.2579658581898*cm  |                     0*deg 159*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  compton_paraffin_8  |compton_leadshield_8  |            compton_paraffin_8  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      compton_target  |                root  |                compton_target  |                              0*cm 0*cm 0.024*inch  |                   0.728*deg 0*deg 0*deg  | 2200cc   |                Cons  |     0*inch 1.068*inch 0*inch 0.792*inch 10*cm 0*deg 360*deg  |                 LD2  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
